type_heater,number_of_bathrooms,number_of_bedrooms,number_of_rooms,number_stories,general_construction,taxable_land,street_code,view_type,basements,category_code,street_code,taxable_land,exterior_condition,garage_spaces,interior_condition,parcel_shape,total_area,total_livable_area,year_built,zip_code,lat,lng,market_value
B,2.0,4.0,10.0,2.0,A ,61500.0,63580.0,I,K,2,63580.0,61500.0,2.0,1.0,2.0,E,2488.0,1816.0,1965.0,19114,40.055051147720896,74.99913870733822,307800.0
A,3.0,4.0,7.0,1.0,3 ,260000.0,18300.0,I,A,1,18300.0,260000.0,1.0,1.0,1.0,E,6468.0,3000.0,2021.0,19128,40.03169451792392,75.22386588204476,1300000.0
H,2.0,3.0,6.0,2.0,A ,0.0,73260.0,I,K,1,73260.0,0.0,1.0,0.0,1.0,E,907.0,1372.0,2022.0,19134,39.992192567334136,75.12949192016687,38000.0
A,2.0,3.0,7.0,2.0,A ,65340.0,53120.0,A,A,1,53120.0,65340.0,4.0,1.0,2.0,E,1492.0,1152.0,1955.0,19128,40.02325314659207,75.2130386667613,326700.0
A,2.0,3.0,7.0,3.0,A ,79420.0,57320.0,I,A,1,57320.0,79420.0,4.0,0.0,2.0,E,515.0,1524.0,1920.0,19147,39.92965740174944,75.14983208484983,397100.0
A,1.0,2.0,5.0,2.0,A ,33780.0,27380.0,I,C,1,27380.0,33780.0,4.0,0.0,4.0,E,672.0,700.0,1920.0,19148,39.923588046838,75.16049427701935,168900.0
B,1.0,3.0,6.0,2.0,E ,60400.0,49440.0,I,C,1,49440.0,60400.0,2.0,0.0,2.0,E,1590.0,1394.0,1950.0,19128,40.02099637445851,75.20559236236514,302000.0
A,4.0,4.0,7.0,3.0,A ,247200.0,21900.0,I,A,1,21900.0,247200.0,3.0,1.0,1.0,E,1076.0,2592.0,2019.0,19146,39.94225869653089,75.17908121274674,1236300.0
A,3.0,4.0,7.0,3.0,A ,69900.0,17180.0,I,C,1,17180.0,69900.0,2.0,0.0,2.0,E,1207.0,2721.0,1925.0,19125,39.974271177227344,75.12702398623097,349900.0
B,3.0,6.0,18.0,3.0,A ,24900.0,62120.0,I,C,2,62120.0,24900.0,4.0,0.0,4.0,E,1467.0,2232.0,1915.0,19121,39.9802345053994,75.18264265569643,124900.0
A,1.0,3.0,6.0,2.0,A ,25340.0,84160.0,I,D,1,84160.0,25340.0,4.0,0.0,4.0,E,1620.0,1200.0,1950.0,19144,40.04082324814525,75.15818430192022,126700.0
A,2.0,4.0,6.0,3.0,B ,100920.0,30420.0,I,A,1,30420.0,100920.0,1.0,0.0,1.0,E,700.0,2100.0,2021.0,19146,39.93499788009122,75.18140596464808,504600.0
B,2.0,4.0,7.0,3.0,A ,98700.0,38220.0,I,C,1,38220.0,98700.0,4.0,0.0,2.0,E,3178.0,1809.0,1920.0,19118,40.07650955415399,75.2038540377923,493500.0
A,2.0,2.0,5.0,2.0,A ,44800.0,12740.0,I,A,1,12740.0,44800.0,3.0,0.0,3.0,E,690.0,930.0,1925.0,19146,39.937711714485296,75.17615778838059,218700.0
A,1.0,2.0,5.0,3.0,3 ,85000.0,62120.0,0,A,1,62120.0,85000.0,1.0,1.0,1.0,E,517.0,1437.0,2019.0,19122,39.974561568287854,75.13795656317012,425000.0
H,1.0,3.0,6.0,2.0,A ,32060.0,26140.0,I,C,1,26140.0,32060.0,4.0,0.0,5.0,E,628.0,980.0,1920.0,19147,39.929500175454045,75.15627597770768,160300.0
A,2.0,3.0,6.0,3.0,B ,139000.0,54280.0,I,N,1,54280.0,139000.0,3.0,0.0,3.0,A,695.0,1776.0,2012.0,19122,39.97201265119733,75.13689250756605,695000.0
A,1.0,3.0,6.0,2.0,A ,70700.0,88140.0,I,A,1,88140.0,70700.0,3.0,0.0,3.0,E,1026.0,1986.0,1925.0,19146,39.93291642332651,75.17463017645089,353500.0
B,2.0,3.0,6.0,2.0,A ,79560.0,12140.0,I,A,1,12140.0,79560.0,4.0,2.0,4.0,B,4337.0,1600.0,1927.0,19119,40.064539542307166,75.18825909266947,397800.0
H,2.0,3.0,6.0,2.0,A ,0.0,73260.0,I,K,1,73260.0,0.0,1.0,0.0,1.0,E,907.0,1372.0,2022.0,19134,39.99219964632729,75.1295471965314,38000.0
B,1.0,3.0,6.0,2.0,A ,44700.0,54000.0,I,C,1,54000.0,44700.0,4.0,0.0,4.0,E,1500.0,1170.0,1950.0,19128,40.03309911251693,75.21144030587661,223500.0
A,2.0,3.0,6.0,2.0,A ,83300.0,57100.0,I,A,1,57100.0,83300.0,2.0,0.0,2.0,E,945.0,1434.0,1925.0,19145,39.92982287290396,75.17415651090185,416500.0
A,1.0,3.0,6.0,2.0,A ,11880.0,67700.0,I,F,1,67700.0,11880.0,4.0,1.0,4.0,E,1408.0,1260.0,1920.0,19143,39.933344351230495,75.22885827248739,59400.0
A,4.0,4.0,7.0,3.0,A ,246980.0,88040.0,I,A,1,88040.0,246980.0,2.0,1.0,2.0,E,1080.0,2862.0,1915.0,19147,39.93563745800445,75.16322334908105,1234900.0
G,3.0,4.0,11.0,3.0,E ,97480.0,50780.0,I,A,1,50780.0,97480.0,2.0,2.0,2.0,E,5550.0,1994.0,1925.0,19119,40.05542220994776,75.19487052859989,487400.0
A,1.0,3.0,6.0,2.0,A ,47220.0,73060.0,I,H,1,73060.0,47220.0,4.0,1.0,4.0,E,3920.0,1474.0,1950.0,19150,40.06496484488086,75.17459789432267,236100.0
A,3.0,3.0,7.0,2.0,A ,98520.0,74660.0,I,A,1,74660.0,98520.0,4.0,3.0,4.0,B,10467.0,1536.0,1957.0,19118,40.07817063900882,75.19881300946906,492600.0
A,2.0,3.0,7.0,2.0,A ,95800.0,74660.0,I,A,1,74660.0,95800.0,4.0,2.0,4.0,B,10434.0,1536.0,1957.0,19118,40.078399108021614,75.19920937130462,479000.0
H,2.0,3.0,6.0,3.0,A ,134240.0,76760.0,I,C,1,76760.0,134240.0,2.0,1.0,2.0,E,792.0,1980.0,1920.0,19130,39.97124545552747,75.17741241017487,671200.0
A,1.0,3.0,6.0,2.0,A ,8140.0,22120.0,I,J,1,22120.0,8140.0,5.0,0.0,5.0,E,1291.0,1120.0,1925.0,19142,39.92838371713033,75.2334797661776,40700.0
A,2.0,3.0,6.0,2.0,A ,82060.0,88140.0,I,A,1,88140.0,82060.0,3.0,0.0,2.0,E,1008.0,1416.0,1925.0,19145,39.93097811801194,75.17465885436836,410300.0
