type_heater,number_of_bathrooms,number_of_bedrooms,number_of_rooms,number_stories,general_construction,taxable_land,street_code,view_type,basements,category_code,street_code,taxable_land,exterior_condition,garage_spaces,interior_condition,parcel_shape,total_area,total_livable_area,year_built,zip_code,lat,lng,market_value
A,2.0,4.0,12.0,3.0,B ,92860.0,88320.0,I,A,1,88320.0,92860.0,1.0,0.0,1.0,E,608.0,1734.0,2021.0,19121,39.97817889732661,75.17972258479895,464300.0
A,3.0,3.0,6.0,3.0,A ,137000.0,33740.0,I,A,1,33740.0,137000.0,1.0,0.0,1.0,E,1081.0,2352.0,2021.0,19147,39.93253255022507,75.14694850320551,685000.0
A,2.0,3.0,6.0,2.0,A ,64000.0,76720.0,I,A,1,76720.0,64000.0,4.0,0.0,2.0,E,1088.0,1572.0,1920.0,19145,39.931672467389525,75.17889729561999,320000.0
A,3.0,4.0,7.0,1.0,3 ,167800.0,68814.0,I,K,1,68814.0,167800.0,1.0,2.0,1.0,E,900.0,3190.0,2021.0,19127,40.02850186584882,75.23068140482432,839000.0
A,1.0,3.0,6.0,2.0,A ,60000.0,28480.0,I,C,1,28480.0,60000.0,4.0,0.0,2.0,E,930.0,1128.0,1923.0,19146,39.93520811317078,75.19653398824634,300000.0
A,3.0,4.0,7.0,1.0,C ,145300.0,12170.0,C,A,1,12170.0,145300.0,2.0,2.0,2.0,A,17425.0,1864.0,1976.0,19119,40.04552529359635,75.207491716693,726900.0
A,3.0,3.0,6.0,3.0,H ,65800.0,38380.0,I,J,1,38380.0,65800.0,4.0,0.0,2.0,E,3750.0,1680.0,1900.0,19128,40.033045814374525,75.21693671089952,329000.0
A,1.0,3.0,7.0,2.0,A ,45100.0,53020.0,I,A,1,53020.0,45100.0,3.0,0.0,2.0,E,968.0,1270.0,1925.0,19143,39.942027556679314,75.23290295974387,225500.0
A,3.0,4.0,7.0,3.0,3 ,154600.0,68814.0,I,K,1,68814.0,154600.0,1.0,2.0,1.0,E,900.0,3190.0,2021.0,19127,40.02853764775468,75.23073557200892,773000.0
A,3.0,3.0,7.0,3.0,B ,65550.0,88180.0,0,A,1,88180.0,65550.0,1.0,0.0,1.0,A,1984.0,1722.0,2020.0,19146,39.9399508343294,75.17633028836909,437000.0
H,1.0,3.0,6.0,2.0,A ,5520.0,78960.0,I,C,1,78960.0,5520.0,7.0,0.0,7.0,E,868.0,1064.0,1920.0,19142,39.929880061278446,75.23237132240773,27600.0
A,1.0,3.0,6.0,2.0,A ,6100.0,37300.0,I,C,1,37300.0,6100.0,4.0,0.0,4.0,E,984.0,960.0,1920.0,19142,39.92300805502555,75.23296208656485,30900.0
A,2.0,2.0,4.0,3.0,A ,86000.0,71180.0,I,A,1,71180.0,86000.0,1.0,0.0,1.0,A,363.0,1194.0,2020.0,19147,39.93833315764621,75.15772823946885,430000.0
A,2.0,4.0,8.0,3.0,A ,21460.0,54200.0,I,D,2,54200.0,21460.0,2.0,0.0,2.0,E,721.0,1461.0,1920.0,19133,39.988359046593104,75.13330171773832,107300.0
A,1.0,3.0,6.0,2.0,A ,13220.0,43040.0,I,C,1,43040.0,13220.0,4.0,0.0,4.0,E,845.0,1100.0,1925.0,19142,39.91630974949618,75.2376356883956,66100.0
A,3.0,4.0,13.0,3.0,A ,80640.0,57520.0,I,A,1,57520.0,80640.0,1.0,0.0,1.0,E,919.0,2016.0,2020.0,19104,39.96426597997736,75.19683035132726,403200.0
A,4.0,3.0,6.0,3.0,A ,114000.0,88140.0,I,A,1,88140.0,114000.0,1.0,0.0,1.0,E,880.0,1816.0,2021.0,19146,39.93609632513317,75.17391487457039,570000.0
A,1.0,3.0,6.0,2.0,A ,16300.0,77080.0,I,C,1,77080.0,16300.0,4.0,0.0,4.0,E,1160.0,1138.0,1925.0,19142,39.916772437776864,75.23576205006853,81500.0
B,3.0,5.0,10.0,3.0,E ,174520.0,84060.0,C,C,1,84060.0,174520.0,4.0,4.0,4.0,E,21994.0,3576.0,1925.0,19144,40.03572459116566,75.19414148090249,872600.0
A,1.0,3.0,6.0,2.0,A ,0.0,89200.0,I,C,1,89200.0,0.0,4.0,0.0,4.0,E,1425.0,1470.0,1920.0,19142,39.92513809697765,75.2364555448735,64100.0
A,1.0,3.0,6.0,2.0,A ,32600.0,55820.0,I,E,1,55820.0,32600.0,4.0,1.0,4.0,E,1253.0,1228.0,1950.0,19150,40.07184145250996,75.16215033192914,163000.0
G,2.0,5.0,9.0,3.0,E ,80920.0,43660.0,I,D,1,43660.0,80920.0,3.0,0.0,3.0,E,3688.0,2468.0,1925.0,19119,40.047236367256346,75.18742196930485,404600.0
A,1.0,3.0,6.0,2.0,A ,10920.0,47780.0,I,C,1,47780.0,10920.0,4.0,0.0,4.0,E,938.0,1092.0,1920.0,19142,39.927466282708366,75.23787711014995,54600.0
A,1.0,3.0,6.0,2.0,A ,10860.0,63240.0,I,C,1,63240.0,10860.0,4.0,0.0,3.0,A,1618.0,960.0,1920.0,19142,39.913783342571,75.23389132210774,54300.0
A,1.0,2.0,5.0,2.0,A ,63640.0,81840.0,I,A,1,81840.0,63640.0,4.0,0.0,2.0,E,675.0,912.0,1925.0,19148,39.92026279394439,75.16972515547009,318200.0
A,3.0,3.0,5.0,2.0,1 ,80000.0,64879.0,I,K,1,64879.0,80000.0,1.0,0.0,1.0,E,806.0,1560.0,2021.0,19119,40.057896144106905,75.18910455817058,400000.0
A,2.0,3.0,7.0,3.0,C ,80000.0,54680.0,I,A,1,54680.0,80000.0,1.0,2.0,1.0,E,280.0,1809.0,2020.0,19148,39.92613947809245,75.15694714636683,533500.0
A,2.0,4.0,7.0,2.0,I ,71340.0,63420.0,I,N,1,63420.0,71340.0,4.0,0.0,2.0,E,5000.0,1393.0,1960.0,19128,40.0400951455992,75.23204927158082,356700.0
A,5.0,5.0,11.0,3.0,A ,142000.0,79020.0,I,A,1,79020.0,142000.0,2.0,2.0,2.0,E,5800.0,2840.0,1925.0,19119,40.04742365056205,75.18478868588225,710000.0
A,3.0,3.0,6.0,3.0,J ,113540.0,28120.0,I,A,1,28120.0,113540.0,1.0,0.0,1.0,A,2040.0,2376.0,2013.0,19128,40.03562888241819,75.2286844281303,567700.0
A,2.0,3.0,6.0,2.0,A ,115500.0,68280.0,I,E,1,68280.0,115500.0,1.0,1.0,1.0,A,5914.0,2716.0,2021.0,19128,40.04611452777498,75.23495010341384,577500.0
A,3.0,3.0,10.0,3.0,B ,130880.0,88340.0,I,A,1,88340.0,130880.0,1.0,0.0,1.0,E,1000.0,1904.0,2017.0,19121,39.97855693725047,75.18071385805395,654400.0
C,3.0,5.0,11.0,3.0,E ,22320.0,42500.0,I,C,2,42500.0,22320.0,4.0,0.0,3.0,E,2201.0,1975.0,1915.0,19144,40.0454726712751,75.17102971637746,111600.0
A,4.0,4.0,7.0,3.0,A ,200000.0,17420.0,0,K,1,17420.0,200000.0,1.0,0.0,1.0,A,1011.0,2808.0,2022.0,19147,39.937518295821405,75.15548553858916,1000000.0
B,1.0,3.0,6.0,2.0,A ,85300.0,13080.0,I,A,1,13080.0,85300.0,4.0,0.0,2.0,E,1256.0,1024.0,1925.0,19118,40.07039288894359,75.19487792777971,426500.0
A,1.0,3.0,6.0,2.0,A ,36680.0,65860.0,I,H,1,65860.0,36680.0,4.0,1.0,4.0,E,1320.0,1472.0,1950.0,19150,40.07293878681719,75.16259106890438,183400.0
A,2.0,3.0,6.0,3.0,A ,68840.0,36680.0,I,A,1,36680.0,68840.0,2.0,0.0,2.0,E,700.0,1338.0,1923.0,19146,39.93443735579272,75.18384336939933,344200.0
A,2.0,2.0,5.0,2.0,A ,23980.0,83960.0,I,A,1,83960.0,23980.0,4.0,0.0,2.0,E,686.0,700.0,1920.0,19148,39.92261957559225,75.16162990022983,119900.0
A,2.0,2.0,5.0,3.0,B ,72600.0,35200.0,0,N,1,35200.0,72600.0,1.0,0.0,1.0,E,1.0,0.0,2021.0,19123,39.95713669150736,75.14013345004068,484300.0
A,2.0,3.0,6.0,2.0,A ,67460.0,61680.0,I,A,1,61680.0,67460.0,4.0,0.0,2.0,E,736.0,1176.0,1924.0,19148,39.927484251957,75.15323987000632,337300.0
A,1.0,3.0,6.0,2.0,A ,58000.0,57740.0,I,C,1,57740.0,58000.0,4.0,0.0,2.0,E,750.0,828.0,1925.0,19146,39.9370527101883,75.19327394223698,290000.0
B,1.0,2.0,5.0,2.0,H ,55560.0,72760.0,I,A,1,72760.0,55560.0,4.0,0.0,3.0,E,1123.0,1110.0,1940.0,19128,40.02542023120002,75.21224231899485,277800.0
A,2.0,3.0,6.0,3.0,B ,87440.0,49300.0,0,A,1,49300.0,87440.0,1.0,0.0,1.0,E,651.0,1488.0,2021.0,19146,39.93744277172801,75.18823873968785,437200.0
B,3.0,4.0,8.0,3.0,A ,39180.0,81600.0,I,C,1,81600.0,39180.0,4.0,0.0,2.0,E,3076.0,2208.0,1920.0,19144,40.04966822584519,75.1738583858026,195900.0
A,1.0,2.0,5.0,2.0,B ,64000.0,46460.0,I,C,1,46460.0,64000.0,4.0,0.0,2.0,E,630.0,932.0,1925.0,19148,39.91961407025234,75.16968587479134,320000.0
A,1.0,3.0,6.0,2.0,A ,34580.0,16280.0,I,G,1,16280.0,34580.0,5.0,1.0,4.0,E,1457.0,1170.0,1950.0,19150,40.08082414381277,75.17420115661443,172900.0
B,2.0,4.0,7.0,3.0,E ,85000.0,63860.0,I,C,1,63860.0,85000.0,4.0,1.0,4.0,E,5400.0,2500.0,1929.0,19129,40.01699243932906,75.18649207270734,425000.0
A,1.0,2.0,5.0,2.0,A ,36980.0,25400.0,I,A,1,25400.0,36980.0,4.0,0.0,2.0,E,1085.0,800.0,1930.0,19120,40.018477752824886,75.11159688607935,184900.0
A,3.0,4.0,10.0,3.0,B ,107600.0,73060.0,I,K,1,73060.0,107600.0,1.0,0.0,1.0,E,1925.0,2910.0,2022.0,19119,40.05628064514774,75.18338754426823,538300.0
A,3.0,4.0,10.0,3.0,B ,107600.0,73060.0,I,K,1,73060.0,107600.0,1.0,0.0,1.0,A,2026.0,2910.0,2022.0,19119,40.05632376868643,75.1833427956306,538300.0
A,1.0,3.0,6.0,2.0,A ,23640.0,84160.0,I,D,1,84160.0,23640.0,4.0,0.0,4.0,E,1135.0,1128.0,1950.0,19144,40.04090799150766,75.15817408781609,118200.0
A,1.0,3.0,6.0,2.0,B ,52000.0,16280.0,I,D,1,16280.0,52000.0,4.0,0.0,4.0,E,4500.0,1608.0,1950.0,19150,40.07825115757077,75.16972035727956,260000.0
B,2.0,4.0,7.0,3.0,J ,97500.0,52060.0,I,C,2,52060.0,97500.0,3.0,0.0,2.0,E,3375.0,2158.0,1900.0,19128,40.03134896561973,75.21751008838793,487800.0
A,4.0,5.0,15.0,3.0,A ,139400.0,54280.0,I,C,2,54280.0,139400.0,2.0,0.0,2.0,E,1317.0,2218.0,1915.0,19121,39.97585500941001,75.17088537318236,697200.0
A,2.0,3.0,6.0,2.0,B ,76960.0,36220.0,I,D,1,36220.0,76960.0,1.0,0.0,1.0,E,680.0,1150.0,2021.0,19145,39.92639143666642,75.17789028977404,384800.0
0,4.0,4.0,7.0,3.0,A ,200000.0,17420.0,0,K,1,17420.0,200000.0,1.0,0.0,1.0,A,1085.0,2893.0,2022.0,19147,39.93727632298545,75.15554398323707,1000000.0
A,4.0,4.0,7.0,3.0,A ,200000.0,17420.0,0,K,1,17420.0,200000.0,1.0,0.0,1.0,A,1093.0,2808.0,2022.0,19147,39.93745827326815,75.15550516256077,1000000.0
A,4.0,4.0,7.0,3.0,A ,200000.0,17420.0,0,K,1,17420.0,200000.0,1.0,0.0,1.0,A,1176.0,3141.0,2022.0,19147,39.93733904529957,75.15553775545017,1000000.0
A,4.0,4.0,7.0,3.0,A ,200000.0,17420.0,0,K,1,17420.0,200000.0,1.0,0.0,1.0,A,1176.0,2808.0,2022.0,19147,39.93739922588766,75.15552459944777,1000000.0
A,2.0,3.0,6.0,3.0,C ,131820.0,21240.0,I,A,1,21240.0,131820.0,1.0,1.0,1.0,E,633.0,2028.0,2021.0,19146,39.93538448194136,75.17792501208326,659100.0
A,2.0,3.0,6.0,2.0,A ,38020.0,69800.0,I,H,1,69800.0,38020.0,4.0,1.0,4.0,E,1817.0,1156.0,1950.0,19150,40.068855568817966,75.16682935730653,190100.0
A,1.0,3.0,6.0,2.0,A ,83000.0,88140.0,I,A,1,88140.0,83000.0,2.0,0.0,2.0,E,1039.0,1140.0,1920.0,19145,39.91352419248365,75.177330960876,415000.0
A,3.0,3.0,6.0,3.0,A ,138000.0,72060.0,I,C,1,72060.0,138000.0,2.0,0.0,2.0,E,1566.0,2430.0,1920.0,19125,39.96633099333548,75.13238883754624,690000.0
A,2.0,3.0,6.0,2.0,A ,119200.0,68280.0,I,E,1,68280.0,119200.0,1.0,1.0,1.0,A,9847.0,2716.0,2021.0,19128,40.04593745455154,75.23467791864728,596200.0
A,3.0,3.0,6.0,3.0,B ,78300.0,36680.0,I,A,1,36680.0,78300.0,1.0,0.0,1.0,E,700.0,1761.0,2021.0,19146,39.93443077402114,75.1837937252247,391500.0
A,4.0,3.0,6.0,2.0,A ,85300.0,68280.0,I,A,1,68280.0,85300.0,1.0,0.0,1.0,A,2807.0,1920.0,2021.0,19128,40.04680242459794,75.23517979442798,426800.0
B,2.0,4.0,7.0,2.0,A ,11420.0,74240.0,I,D,1,74240.0,11420.0,4.0,0.0,4.0,E,636.0,750.0,1900.0,19144,40.03873100407508,75.17275542281436,57100.0
H,1.0,2.0,5.0,2.0,A ,39040.0,22180.0,I,C,1,22180.0,39040.0,4.0,0.0,4.0,E,616.0,784.0,1923.0,19145,39.93079449790569,75.1728295621804,195200.0
A,3.0,3.0,6.0,3.0,B ,94000.0,88290.0,I,A,1,88290.0,94000.0,1.0,1.0,1.0,E,641.0,1800.0,2021.0,19146,39.93356465929691,75.18674546452363,470000.0
A,2.0,4.0,7.0,3.0,A ,119980.0,28480.0,I,E,1,28480.0,119980.0,4.0,0.0,2.0,E,1120.0,1916.0,1923.0,19146,39.931718413835725,75.16952567323243,520000.0
A,2.0,2.0,12.0,2.0,5 ,56300.0,72000.0,I,A,1,72000.0,56300.0,2.0,0.0,2.0,E,823.0,992.0,1925.0,19121,39.97581657672397,75.17606540663667,281700.0
A,3.0,4.0,8.0,1.0,3 ,183800.0,68814.0,I,K,1,68814.0,183800.0,1.0,2.0,1.0,E,1035.0,3680.0,2021.0,19127,40.0273613646783,75.22891646005537,1295000.0
B,1.0,4.0,7.0,2.0,A ,53100.0,75900.0,I,C,1,75900.0,53100.0,3.0,0.0,3.0,E,1380.0,1549.0,1925.0,19119,40.06266702651136,75.18640750706284,265500.0
A,1.0,2.0,5.0,2.0,A ,63000.0,64640.0,I,A,1,64640.0,63000.0,2.0,0.0,2.0,E,700.0,982.0,1920.0,19148,39.92620006446179,75.15061594180655,315000.0
A,4.0,7.0,11.0,3.0,A ,77160.0,57100.0,I,A,2,57100.0,77160.0,2.0,0.0,2.0,E,1014.0,2394.0,1915.0,19148,39.92710777175116,75.15335908547921,385800.0
A,2.0,3.0,6.0,3.0,B ,37720.0,11600.0,I,A,1,11600.0,37720.0,1.0,0.0,1.0,E,748.0,1426.0,2021.0,19125,39.98901382517874,75.12593213978366,188600.0
A,2.0,2.0,5.0,2.0,A ,20500.0,15440.0,I,A,1,15440.0,20500.0,4.0,0.0,2.0,E,658.0,956.0,1925.0,19145,39.93221481049027,75.18902569323639,102500.0
B,2.0,3.0,6.0,2.0,B ,40820.0,21200.0,I,C,2,21200.0,40820.0,5.0,0.0,4.0,E,791.0,1170.0,1929.0,19148,39.92278473815311,75.16028490331162,204100.0
B,2.0,3.0,6.0,2.0,B ,61240.0,63620.0,I,A,1,63620.0,61240.0,4.0,0.0,3.0,E,1871.0,1712.0,1920.0,19128,40.03152544711747,75.21875678844218,306200.0
B,1.0,2.0,5.0,2.0,A ,45480.0,63620.0,I,C,1,63620.0,45480.0,4.0,0.0,4.0,E,1290.0,1202.0,1940.0,19128,40.02489983160455,75.21270617757004,227400.0
A,2.0,3.0,6.0,2.0,5 ,103160.0,21560.0,I,A,1,21560.0,103160.0,2.0,0.0,2.0,E,2512.0,1480.0,1925.0,19119,40.04729885256187,75.19525860244043,515800.0
A,3.0,4.0,7.0,3.0,B ,84000.0,83180.0,I,A,1,83180.0,84000.0,1.0,0.0,1.0,E,700.0,1680.0,2020.0,19146,39.93386312012907,75.18233561390416,420000.0
A,3.0,4.0,12.0,3.0,A ,99160.0,62120.0,I,A,1,62120.0,99160.0,2.0,0.0,2.0,E,1350.0,2030.0,1915.0,19121,39.98085150379616,75.18761064478858,495800.0
A,1.0,2.0,5.0,2.0,B ,50220.0,21200.0,I,C,1,21200.0,50220.0,5.0,0.0,4.0,E,720.0,1038.0,1929.0,19148,39.92249282269935,75.15783492288806,251100.0
A,2.0,3.0,6.0,3.0,B ,87440.0,49300.0,I,A,1,49300.0,87440.0,1.0,0.0,1.0,E,651.0,1488.0,2021.0,19146,39.93743674682542,75.18818937278438,437200.0
A,3.0,3.0,6.0,3.0,B ,122120.0,87900.0,I,A,1,87900.0,122120.0,1.0,0.0,1.0,E,937.0,2145.0,2022.0,19148,39.92357441631647,75.15503401202497,610600.0
A,1.0,2.0,5.0,2.0,A ,23080.0,43820.0,I,C,1,43820.0,23080.0,4.0,0.0,4.0,E,700.0,844.0,1905.0,19148,39.92109044558585,75.1489051350568,115400.0
A,2.0,3.0,8.0,3.0,1 ,137400.0,81100.0,I,A,1,81100.0,137400.0,1.0,0.0,1.0,E,4552.0,2328.0,2019.0,19128,40.027394443685054,75.2076943713974,687100.0
A,3.0,4.0,7.0,3.0,B ,100920.0,49300.0,I,A,1,49300.0,100920.0,2.0,0.0,2.0,E,880.0,2013.0,1925.0,19146,39.93609488750639,75.174569461505,504600.0
C,3.0,6.0,8.0,3.0,A ,49700.0,76720.0,I,C,2,76720.0,49700.0,4.0,0.0,4.0,E,1201.0,1767.0,1915.0,19148,39.92907962864399,75.15632936667356,248500.0
A,2.0,3.0,6.0,3.0,C ,120780.0,64670.0,0,K,1,64670.0,120780.0,1.0,1.0,1.0,A,2958.0,3375.0,2020.0,19145,39.90967888105688,75.18929394374271,603900.0
A,1.0,3.0,6.0,3.0,F ,63780.0,35100.0,I,A,1,35100.0,63780.0,3.0,0.0,2.0,E,926.0,1385.0,1920.0,19128,40.029969279148965,75.21528567252138,318900.0
A,3.0,3.0,6.0,3.0,B ,94000.0,88290.0,I,A,1,88290.0,94000.0,1.0,1.0,1.0,E,641.0,1800.0,2021.0,19146,39.93395338562557,75.18665960318177,470000.0
A,3.0,3.0,9.0,2.0,A ,51280.0,79820.0,I,A,1,79820.0,51280.0,4.0,0.0,2.0,E,2000.0,1200.0,1910.0,19135,40.02720719463951,75.03899222560513,256400.0
A,4.0,6.0,18.0,3.0,A ,94900.0,77160.0,I,A,2,77160.0,94900.0,2.0,0.0,2.0,E,1395.0,2208.0,1915.0,19121,39.97556219314391,75.17579122375514,474700.0
A,2.0,3.0,6.0,2.0,A ,108700.0,68280.0,I,E,1,68280.0,108700.0,1.0,1.0,1.0,A,7162.0,2316.0,2021.0,19128,40.04671794538203,75.23599148401108,543800.0
A,2.0,3.0,6.0,2.0,A ,104200.0,68280.0,I,E,1,68280.0,104200.0,1.0,1.0,1.0,A,4076.0,2316.0,2021.0,19128,40.04638490163818,75.23597340154119,521000.0
A,3.0,3.0,5.0,3.0,A ,95260.0,67840.0,I,A,1,67840.0,95260.0,1.0,0.0,1.0,E,512.0,1581.0,2020.0,19147,39.93517287643372,75.15255825166854,476300.0
A,1.0,3.0,6.0,2.0,A ,27500.0,89420.0,I,B,1,89420.0,27500.0,4.0,0.0,4.0,E,1263.0,960.0,1920.0,19153,39.91195309832006,75.23945595629478,137900.0
A,2.0,4.0,7.0,3.0,A ,113000.0,67780.0,I,A,1,67780.0,113000.0,4.0,0.0,2.0,E,1440.0,2157.0,1915.0,19146,39.93337056826579,75.16984445115565,565000.0
A,3.0,3.0,6.0,3.0,C ,110000.0,17180.0,0,A,1,17180.0,110000.0,1.0,0.0,1.0,E,790.0,1737.0,2021.0,19125,39.97155667987074,75.12557815155742,550000.0
A,1.0,3.0,6.0,2.0,A ,10100.0,67940.0,I,K,1,67940.0,10100.0,4.0,0.0,4.0,E,930.0,1216.0,1920.0,19142,39.93161368018455,75.23080590571814,50500.0
A,1.0,3.0,6.0,2.0,A ,8320.0,89160.0,I,C,1,89160.0,8320.0,4.0,0.0,4.0,E,1024.0,1256.0,1920.0,19142,39.92603087622133,75.23519057719126,41600.0
A,3.0,3.0,5.0,3.0,A ,103800.0,64400.0,0,A,1,64400.0,103800.0,1.0,0.0,1.0,E,560.0,1644.0,2020.0,19147,39.936521074187766,75.16397602656644,519000.0
A,1.0,3.0,6.0,2.0,A ,38940.0,88220.0,I,A,1,88220.0,38940.0,2.0,0.0,2.0,E,960.0,1260.0,1923.0,19146,39.9380646370872,75.18034858395676,194700.0
A,8.0,8.0,13.0,3.0,3 ,125600.0,78760.0,I,A,2,78760.0,125600.0,1.0,0.0,1.0,E,1582.0,3689.0,2021.0,19130,39.96857866275064,75.16886741296635,125600.0
A,3.0,4.0,8.0,3.0,A ,641248.0,62880.0,I,K,1,62880.0,641248.0,4.0,2.0,3.0,E,1323.0,3322.0,2003.0,19103,39.94816954167936,75.18229740628577,2250000.0
A,1.0,3.0,6.0,2.0,A ,38980.0,40560.0,I,C,1,40560.0,38980.0,4.0,0.0,2.0,E,1133.0,1136.0,1925.0,19142,39.92331517454058,75.22195377719305,194900.0
B,1.0,3.0,6.0,2.0,F ,54460.0,75380.0,I,C,1,75380.0,54460.0,4.0,0.0,3.0,E,1344.0,1262.0,1940.0,19128,40.01773006110496,75.20874453511107,272300.0
A,2.0,3.0,6.0,2.0,A ,45300.0,55960.0,I,A,1,55960.0,45300.0,2.0,0.0,2.0,E,1056.0,1100.0,1915.0,19148,39.924800980995975,75.1550069688332,226600.0
A,2.0,4.0,8.0,2.0,A ,81280.0,88240.0,I,A,2,88240.0,81280.0,4.0,0.0,2.0,E,1080.0,1680.0,1920.0,19146,39.93448415815917,75.182820109795,406400.0
A,2.0,4.0,7.0,3.0,3 ,154900.0,25040.0,I,A,1,25040.0,154900.0,1.0,0.0,1.0,E,1106.0,2655.0,2023.0,19130,39.96966194525476,75.17065130085899,774500.0
B,1.0,2.0,5.0,1.0,F ,63580.0,42140.0,D,C,1,42140.0,63580.0,4.0,0.0,4.0,A,6793.0,1465.0,1930.0,19128,40.02392504033045,75.20677228591468,317900.0
A,3.0,3.0,6.0,2.0,A ,59540.0,81840.0,I,A,1,81840.0,59540.0,2.0,0.0,2.0,E,630.0,1000.0,1925.0,19148,39.91750813614491,75.17032562982648,297700.0
A,1.0,3.0,6.0,2.0,A ,18800.0,31480.0,I,F,1,31480.0,18800.0,4.0,1.0,4.0,E,1232.0,1282.0,1925.0,19153,39.91190894087261,75.2444319273426,94000.0
B,1.0,3.0,6.0,2.0,A ,64600.0,53600.0,I,C,1,53600.0,64600.0,2.0,0.0,2.0,E,1500.0,1308.0,1925.0,19128,40.02390993970341,75.21146755133182,323000.0
A,2.0,2.0,5.0,2.0,B ,66600.0,42420.0,I,A,1,42420.0,66600.0,2.0,0.0,2.0,E,686.0,1010.0,1920.0,19145,39.92628605526021,75.17143069693148,333300.0
A,1.0,3.0,6.0,2.0,A ,42600.0,54380.0,I,H,1,54380.0,42600.0,4.0,1.0,4.0,E,1803.0,1296.0,1960.0,19136,40.06027061628063,75.02321573479855,213000.0
A,2.0,3.0,6.0,2.0,A ,71200.0,40340.0,I,C,1,40340.0,71200.0,4.0,0.0,2.0,E,728.0,1430.0,1925.0,19133,39.985589225538696,75.13488039503953,356000.0
G,1.0,3.0,6.0,2.0,A ,70000.0,21420.0,I,C,1,21420.0,70000.0,2.0,0.0,2.0,E,1037.0,1356.0,1923.0,19146,39.93138903182195,75.16929805310964,350000.0
A,2.0,4.0,8.0,2.0,C ,107000.0,34240.0,0,G,1,34240.0,107000.0,1.0,2.0,1.0,A,8015.0,2652.0,2020.0,19114,40.051480604383215,74.98351059527131,535000.0
A,5.0,5.0,9.0,3.0,3 ,104900.0,62120.0,I,A,1,62120.0,104900.0,1.0,0.0,1.0,E,1073.0,2384.0,2020.0,19121,39.97881486293954,75.16881647235901,524500.0
A,2.0,3.0,7.0,3.0,C ,106800.0,87940.0,I,A,1,87940.0,106800.0,1.0,0.0,1.0,E,768.0,1814.0,2020.0,19148,39.92797429338192,75.15688712110459,534000.0
A,1.0,3.0,6.0,2.0,A ,39520.0,63380.0,I,A,1,63380.0,39520.0,2.0,0.0,2.0,E,843.0,1088.0,1923.0,19146,39.93628433359485,75.19639357339433,197600.0
A,1.0,3.0,6.0,2.0,A ,62540.0,34780.0,I,E,1,34780.0,62540.0,4.0,1.0,3.0,E,3200.0,1216.0,1960.0,19128,40.04032887890941,75.22026633663576,312700.0
B,2.0,3.0,6.0,2.0,A ,23360.0,54200.0,I,A,1,54200.0,23360.0,2.0,0.0,2.0,E,678.0,1008.0,1920.0,19133,39.98459806709951,75.13446940595423,116800.0
A,2.0,3.0,6.0,3.0,B ,100920.0,30420.0,I,A,1,30420.0,100920.0,1.0,0.0,1.0,E,700.0,2100.0,2023.0,19146,39.935056345718806,75.18185021284015,504600.0
G,1.0,3.0,6.0,2.0,F ,69300.0,50480.0,I,C,1,50480.0,69300.0,4.0,0.0,2.0,E,2306.0,1561.0,1925.0,19128,40.03540183988968,75.21827737936606,346500.0
A,2.0,4.0,8.0,2.0,G ,49960.0,29740.0,I,A,2,29740.0,49960.0,4.0,1.0,3.0,E,2203.0,1607.0,1900.0,19144,40.04107852231645,75.18585101352569,249800.0
A,2.0,3.0,6.0,2.0,A ,78560.0,21420.0,I,A,1,21420.0,78560.0,3.0,0.0,2.0,E,690.0,1050.0,1920.0,19145,39.92292035289928,75.17104445322698,392800.0
A,4.0,4.0,8.0,3.0,3 ,107200.0,28420.0,I,A,1,28420.0,107200.0,1.0,0.0,1.0,E,1418.0,2572.0,2020.0,19128,40.02266780793512,75.21313117668866,536000.0
A,2.0,4.0,12.0,3.0,A ,86000.0,74900.0,I,A,1,74900.0,86000.0,1.0,0.0,1.0,E,648.0,1788.0,2018.0,19121,39.97526823997157,75.18050129712428,430000.0
A,1.0,3.0,6.0,2.0,A ,48560.0,12140.0,I,B,1,12140.0,48560.0,4.0,0.0,4.0,E,2458.0,1354.0,1950.0,19150,40.06981742313556,75.18236453390794,242800.0
B,2.0,4.0,7.0,2.0,H ,64420.0,34820.0,I,N,1,34820.0,64420.0,4.0,1.0,4.0,E,5800.0,1503.0,1940.0,19128,40.04021995356941,75.23111818078893,322100.0
A,1.0,4.0,6.0,2.0,A ,93560.0,53600.0,I,E,1,53600.0,93560.0,4.0,2.0,4.0,E,8559.0,2475.0,1960.0,19128,40.02702503526845,75.20551332453293,467800.0
A,3.0,3.0,6.0,2.0,A ,75000.0,16580.0,I,A,1,16580.0,75000.0,2.0,0.0,2.0,E,1360.0,1412.0,1965.0,19134,39.98214997345615,75.11262778606846,375000.0
A,2.0,3.0,6.0,3.0,3 ,90960.0,59020.0,I,A,1,59020.0,90960.0,1.0,1.0,1.0,E,900.0,1593.0,2020.0,19121,39.98905437699341,75.18607031809191,454800.0
A,2.0,3.0,6.0,2.0,A ,37540.0,84640.0,I,H,1,84640.0,37540.0,4.0,0.0,4.0,E,1648.0,1164.0,1950.0,19150,40.06901553624042,75.16874219930615,187700.0
A,2.0,3.0,6.0,2.0,A ,33740.0,77840.0,I,C,1,77840.0,33740.0,4.0,0.0,2.0,E,1373.0,1110.0,1920.0,19143,39.93419254509498,75.23171112908884,168700.0
